,Date,open_spy,close_spy,vol_spy,open_tsla,close_tsla,vol_tsla,daygain_tsla,daygain_spy
211,2011-04-29,136.16,136.43,115094100,27.69,27.6,726000,-0.08999999999999986,0.27000000000001023
212,2011-05-02,137.07,136.22,126278700,27.6,27.45,784600,-0.15000000000000213,-0.8499999999999943
213,2011-05-03,135.96,135.73,138375000,27.38,26.87,913900,-0.509999999999998,-0.2300000000000182
214,2011-05-04,135.67,134.83,182678500,26.78,26.69,1044500,-0.08999999999999986,-0.839999999999975
215,2011-05-05,134.08,133.61,226900000,27.2,26.44,1218500,-0.759999999999998,-0.46999999999999886
216,2011-05-06,134.94,134.2,222787200,26.9,27.12,981700,0.22000000000000242,-0.7400000000000091
217,2011-05-09,134.19,134.72,114104500,27.0,27.91,916400,0.9100000000000001,0.5300000000000011
218,2011-05-10,135.17,135.87,114806900,28.24,28.33,1535300,0.08999999999999986,0.700000000000017
219,2011-05-11,135.67,134.44,193564200,28.2,27.07,962500,-1.129999999999999,-1.2299999999999898
220,2011-05-12,134.08,135.08,171550700,27.07,27.67,628000,0.6000000000000014,1.0
221,2011-05-13,135.15,134.04,157444900,28.0,27.55,661500,-0.4499999999999993,-1.1100000000000136
222,2011-05-16,133.56,133.19,141675400,27.99,26.6,755700,-1.389999999999997,-0.37000000000000455
223,2011-05-17,132.69,133.17,192686200,27.0,25.96,1234200,-1.0399999999999991,0.47999999999998977
224,2011-05-18,133.24,134.36,135217900,26.1,26.35,729500,0.25,1.1200000000000045
225,2011-05-19,134.8,134.68,119489500,27.03,28.2,2655100,1.1699999999999982,-0.12000000000000455
226,2011-05-20,134.33,133.61,182594900,28.26,27.97,842500,-0.2900000000000027,-0.7199999999999989
227,2011-05-23,131.98,132.06,168700000,27.62,26.82,863600,-0.8000000000000007,0.0800000000000125
228,2011-05-24,132.44,131.95,147199600,27.02,26.72,613700,-0.3000000000000007,-0.4900000000000091
229,2011-05-25,131.42,132.39,151050100,26.9,28.98,4693100,2.080000000000002,0.9699999999999989
230,2011-05-26,132.03,133.0,164850000,28.82,29.48,3336900,0.6600000000000001,0.9699999999999989
231,2011-05-27,133.37,133.51,120921900,29.54,29.55,1687100,0.010000000000001563,0.13999999999998636
232,2011-05-31,134.77,134.9,164731200,29.69,30.14,3290500,0.4499999999999993,0.12999999999999545
233,2011-06-01,134.51,131.87,233094300,30.0,28.52,1529900,-1.4800000000000004,-2.6399999999999864
234,2011-06-02,131.96,131.73,200466800,28.52,28.76,986300,0.240000000000002,-0.2300000000000182
235,2011-06-03,130.15,130.42,234690200,29.95,30.13,6209200,0.17999999999999972,0.2699999999999818
236,2011-06-06,130.09,129.04,179951200,30.1,28.7,2331100,-1.4000000000000021,-1.0500000000000114
237,2011-06-07,129.7,128.96,161660500,28.94,28.37,1222100,-0.5700000000000003,-0.7399999999999807
238,2011-06-08,128.76,128.42,198696400,28.44,27.12,1695900,-1.3200000000000003,-0.3400000000000034
239,2011-06-09,128.77,129.4,160964400,27.43,27.62,1603200,0.19000000000000128,0.6299999999999955
240,2011-06-10,128.85,127.6,238629400,27.52,27.86,1566600,0.33999999999999986,-1.25
241,2011-06-13,127.89,127.7,207599800,28.07,28.43,1713400,0.35999999999999943,-0.18999999999999773
242,2011-06-14,128.87,129.32,160570400,28.54,28.6,1573400,0.060000000000002274,0.44999999999998863
243,2011-06-15,128.24,127.02,300958000,28.44,27.32,1345000,-1.120000000000001,-1.220000000000013
244,2011-06-16,127.06,127.3,308032800,27.67,26.5,1842200,-1.1700000000000017,0.23999999999999488
245,2011-06-17,127.93,127.05,233284900,26.87,26.5,1714000,-0.370000000000001,-0.8800000000000097
246,2011-06-20,126.62,127.7,159479000,26.29,26.01,1537800,-0.2799999999999976,1.0799999999999983
247,2011-06-21,128.36,129.45,193157300,26.24,27.53,1496000,1.2900000000000027,1.089999999999975
248,2011-06-22,129.05,128.67,176703000,27.37,27.21,1475600,-0.16000000000000014,-0.3800000000000239
249,2011-06-23,127.16,128.3,334286500,27.2,27.71,1170000,0.5100000000000016,1.1400000000000148
250,2011-06-24,128.27,126.81,226129300,27.64,27.57,3608500,-0.07000000000000028,-1.460000000000008
251,2011-06-27,126.89,127.94,168904700,27.73,27.46,1809400,-0.2699999999999996,1.0499999999999972
252,2011-06-28,128.45,129.61,165556300,27.79,28.11,889200,0.3200000000000003,1.160000000000025
253,2011-06-29,130.2,130.72,244295500,28.5,28.29,1461800,-0.21000000000000085,0.5200000000000102
254,2011-06-30,131.14,131.97,223322700,28.5,29.13,946700,0.629999999999999,0.8300000000000125
255,2011-07-01,132.09,133.92,202385700,29.07,29.02,854900,-0.05000000000000071,1.829999999999984
256,2011-07-05,133.78,133.81,165936000,29.02,29.14,996000,0.120000000000001,0.030000000000001137
257,2011-07-06,133.49,133.97,143331600,29.14,28.96,926900,-0.17999999999999972,0.47999999999998977
258,2011-07-07,135.16,135.36,170464200,29.14,29.73,1327900,0.5899999999999999,0.20000000000001705
259,2011-07-08,133.83,134.4,194100500,29.89,28.81,1240600,-1.0800000000000018,0.5699999999999932
260,2011-07-11,132.75,131.97,195918600,28.4,28.35,975800,-0.04999999999999716,-0.7800000000000011
261,2011-07-12,131.69,131.4,214675700,28.37,28.17,1045400,-0.1999999999999993,-0.28999999999999204
262,2011-07-13,132.09,131.84,204062600,28.43,28.64,1066000,0.21000000000000085,-0.25
263,2011-07-14,132.17,130.93,226111800,28.53,27.61,1159000,-0.9200000000000017,-1.2399999999999807
264,2011-07-15,131.66,131.69,220012800,27.79,27.58,709000,-0.21000000000000085,0.030000000000001137
265,2011-07-18,131.08,130.61,196872100,27.34,27.23,851900,-0.10999999999999943,-0.46999999999999886
266,2011-07-19,131.34,132.73,166554900,27.58,27.89,1026100,0.3100000000000023,1.3899999999999864
267,2011-07-20,133.07,132.65,137145400,28.0,28.69,3048300,0.6900000000000013,-0.4199999999999875
268,2011-07-21,133.4,134.49,245246300,28.91,28.7,1011500,-0.21000000000000085,1.0900000000000034
269,2011-07-22,134.52,134.58,126019400,28.7,29.29,583500,0.5899999999999999,0.060000000000002274
270,2011-07-25,133.3,133.83,136653800,29.01,28.49,673300,-0.5200000000000031,0.5300000000000011
271,2011-07-26,133.74,133.33,131278200,28.31,28.0,760600,-0.3099999999999987,-0.4099999999999966
